State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
RI,Rhode Island,12/01/2018,Y,U,Y,3741,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,3741,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",4831,,630,,5461,,122710,,311254,,44.5672,-122.1269,"(44.5672, -122.1269)",278432,,32822,
DE,Delaware,12/01/2018,Y,U,Y,4832,,N/A,,4832,,4756,,715,,5471,,106479,,232712,,38.8964,-77.0262,"(38.8964, -77.0262)",221173,,11539,
PA,Pennsylvania,12/01/2018,Y,U,Y,84383,Includes Renewals and/or Redeterminations,N/A,,84383,Includes Renewals and/or Redeterminations,82996,Includes Renewals and/or Redeterminations,9700,,92696,Includes Renewals and/or Redeterminations,1390084,,2949567,,35.5376,-96.9247,"(35.5376, -96.9247)",2770326,,179241,
WA,Washington,12/01/2018,Y,U,Y,64687,,130197,,194884,,106364,,2611,,108975,,829464,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1739111,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1668643,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),70468,
KS,Kansas,12/01/2018,N,U,Y,,,N/A,,,,,,,,,,270256,,389535,,39.8647,-86.2604,"(39.8647, -86.2604)",333884,,55651,
AK,Alaska,12/01/2018,Y,U,Y,3205,Includes Renewals and/or Redeterminations,N/A,,3205,Includes Renewals and/or Redeterminations,2798,Includes Renewals and/or Redeterminations; Includes CHIP,130,,2928,Includes Renewals and/or Redeterminations,94469,,211912,,61.385,-152.2683,"(61.385, -152.2683)",197143,,14769,
MI,Michigan,12/01/2018,Y,U,Y,47116,,N/A,,47116,,46469,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1989,,48458,,948635,Does Not Include All Full-Benefit Child Medicaid enrollees,2333409,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2272586,Does Not Include All Full-Benefit Medicaid enrollees,60823,
ME,Maine,12/01/2018,Y,U,Y,4836,,N/A,,4836,,9214,,461,,9675,,104796,,256900,,39.0724,-76.7902,"(39.0724, -76.7902)",246670,,10230,
NH,New Hampshire,12/01/2018,Y,U,Y,7726,,N/A,,7726,,5535,,669,,6204,,91337,,184476,,47.5362,-99.793,"(47.5362, -99.793)",169089,,15387,
GA,Georgia,12/01/2018,N,U,Y,37762,,N/A,,37762,,25284,,1116,,26400,,1245555,,1821852,,27.8333,-81.717,"(27.8333, -81.717)",1608972,,212880,
IN,Indiana,12/01/2018,Y,U,Y,77916,,N/A,,77916,,34484,,3142,,37626,,800565,,1450933,,40.3363,-89.0022,"(40.3363, -89.0022)",1337709,,113224,
OK,Oklahoma,12/01/2018,N,U,Y,42852,Includes Renewals and/or Redeterminations,N/A,,42852,Includes Renewals and/or Redeterminations,38329,Includes Renewals and/or Redeterminations,7518,,45847,Includes Renewals and/or Redeterminations,511168,,728153,,42.1497,-74.9384,"(42.1497, -74.9384)",609376,,118777,
VA,Virginia,12/01/2018,Y,U,Y,33196,Includes Renewals and/or Redeterminations,N/A,,33196,Includes Renewals and/or Redeterminations,59794,Includes Renewals and/or Redeterminations,2337,Includes Renewals and/or Redeterminations,62131,Includes Renewals and/or Redeterminations,702460,,1053309,,35.7449,-86.7489,"(35.7449, -86.7489)",909439,,143870,
AZ,Arizona,12/01/2018,Y,U,Y,91536,,N/A,,91536,,,,,,,,,,1700470,,14.2417,-170.7197,"(14.2417, -170.7197)",1597487,,102983,
NC,North Carolina,12/01/2018,N,U,Y,18446,,N/A,,18446,,27078,,3678,,30756,,1186195,,1763338,,32.7673,-89.6812,"(32.7673, -89.6812)",1505323,,258015,
ND,North Dakota,12/01/2018,Y,U,Y,2565,,N/A,,2565,,2085,,49,,2134,,43094,,91072,,46.9048,-110.3261,"(46.9048, -110.3261)",88893,,2179,
TX,Texas,12/01/2018,N,U,Y,103709,,N/A,,103709,,64858,,10703,,75561,,3406298,,4308644,,33.8191,-80.9066,"(33.8191, -80.9066)",3701865,,606779,
CA,California,12/01/2018,Y,U,Y,220853,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,220853,,143749,Does Not Include All Medicaid Determinations Made At Application,12141,Does Not Include All CHIP Determinations Made At Application,155890,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4971516,,11927676,,33.7712,-111.3877,"(33.7712, -111.3877)",10625303,,1302373,
LA,Louisiana,12/01/2018,Y,U,Y,26236,,N/A,,26236,,19419,,1190,,20609,,749077,,1577428,,37.669,-84.6514,"(37.669, -84.6514)",1444452,,132976,
SD,South Dakota,12/01/2018,N,U,Y,2467,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2467,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1445,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1445,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78791,,110749,,18.2766,-66.335,"(18.2766, -66.335)",94829,,15920,
WI,Wisconsin,12/01/2018,N,U,Y,21901,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,21901,Does Not Include All Applications for Limited-Benefit Programs,19335,"Count is of Households, Not Individuals",1904,,21239,,480642,,1020034,,37.768,-78.2057,"(37.768, -78.2057)",949167,,70867,
KY,Kentucky,12/01/2018,Y,U,Y,8708,,,,8708,,34357,,2548,,36905,,564123,,1222239,,38.5111,-96.8005,"(38.5111, -96.8005)",1132632,,89607,
MO,Missouri,12/01/2018,N,U,Y,18480,,N/A,,18480,,8119,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals; Includes CHIP",,,8119,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",579583,,911302,,45.7326,-93.9196,"(45.7326, -93.9196)",879410,,31892,
OH,Ohio,12/01/2018,Y,U,Y,62160,Includes Renewals and/or Redeterminations,N/A,,62160,Includes Renewals and/or Redeterminations,47392,Includes CHIP; Includes Renewals and/or Redeterminations,2582,,49974,Includes Renewals and/or Redeterminations,1143206,,2651092,,38.4199,-117.1219,"(38.4199, -117.1219)",2440646,,210446,
FL,Florida,12/01/2018,N,U,Y,226089,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,226089,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,157152,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,23804,,180956,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2483564,,3703423,,39.3498,-75.5148,"(39.3498, -75.5148)",3476981,,226442,
AR,Arkansas,12/01/2018,Y,U,Y,29159,,N/A,,29159,,9506,,547,,10053,,426949,,850695,,34.9513,-92.3809,"(34.9513, -92.3809)",764096,,86599,
CT,Connecticut,12/01/2018,Y,U,Y,5167,Includes Duplicates,21435,Includes Duplicates; Includes Renewals and/or Redeterminations,26602,Includes Duplicates,16834,Includes Renewals and/or Redeterminations,683,Includes Renewals and/or Redeterminations,17517,Includes Renewals and/or Redeterminations,330253,,855943,,39.0646,-105.3272,"(39.0646, -105.3272)",836069,,19874,
MN,Minnesota,12/01/2018,Y,U,Y,5366,,38298,,43664,,21715,,35,,21750,,536246,,1069346,,43.3504,-84.5603,"(43.3504, -84.5603)",1068121,,1225,
VT,Vermont,12/01/2018,Y,U,Y,2669,,2343,,5012,Includes Renewals and/or Redeterminations,5264,Includes Renewals and/or Redeterminations,146,,5410,,63270,,160114,,31.106,-97.6475,"(31.106, -97.6475)",155538,,4576,
NJ,New Jersey,12/01/2018,Y,U,Y,36147,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,36147,Does Not Include All Non-MAGI Applications,12741,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application,4945,Does Not Include All CHIP Determinations Made At Application,17686,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,826133,,1738183,,41.1289,-98.2883,"(41.1289, -98.2883)",1525062,,213121,
DC,District of Columbia,12/01/2018,Y,U,Y,1134,Includes SBM data,2324,,3458,Includes Renewals and/or Redeterminations,3454,Includes Renewals and/or Redeterminations; Includes CHIP,,,3454,,,,259243,,41.5834,-72.7622,"(41.5834, -72.7622)",242753,,16490,
UT,Utah,12/01/2018,N,U,Y,21715,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,21715,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",42991,Includes CHIP,,,42991,,195061,,288403,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",244688,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,43715,
MD,Maryland,12/01/2018,Y,U,Y,6802,,112851,Includes Renewals and/or Redeterminations,119653,Includes Renewals and/or Redeterminations,30669,Includes Renewals and/or Redeterminations,4390,Includes Renewals and/or Redeterminations,35059,Includes Renewals and/or Redeterminations,618583,,1316115,,42.2373,-71.5314,"(42.2373, -71.5314)",1158429,,157686,
NE,Nebraska,12/01/2018,N,U,Y,5503,,N/A,,5503,,4849,,970,,5819,,164913,,247510,,35.6411,-79.8431,"(35.6411, -79.8431)",212374,,35136,
MT,Montana,12/01/2018,Y,U,Y,3474,,N/A,,3474,,3460,,422,,3882,,127863,,279675,,14.8058,145.5505,"(14.8058, 145.5505)",250766,,28909,
NV,Nevada,12/01/2018,Y,U,Y,24102,Includes Renewals and/or Redeterminations,N/A,,24102,Includes Renewals and/or Redeterminations,11975,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",62,,12037,,303343,,636208,,40.314,-74.5089,"(40.314, -74.5089)",594525,,41683,
SC,South Carolina,12/01/2018,N,U,Y,19590,,N/A,,19590,,6841,Does Not Include All Medicaid Determinations Made At Application,292,Does Not Include All CHIP Determinations Made At Application,7133,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,653431,,1044270,,40.5773,-77.264,"(40.5773, -77.264)",954472,,89798,
IL,Illinois,12/01/2018,Y,U,Y,70718,,N/A,,70718,,25496,,8319,,33815,,1356850,,2860188,,44.2394,-114.5103,"(44.2394, -114.5103)",2609025,,251163,
CO,Colorado,12/01/2018,Y,U,Y,23423,,259,,23682,,20823,,371,,21194,,588054,,1305951,,36.17,-119.7462,"(36.17, -119.7462)",1225946,,80005,
OR,Oregon,12/01/2018,Y,U,Y,15055,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,15055,Does Not Include All Non-MAGI Applications,26163,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2513,,28676,Does Not Include All Non-MAGI Determinations Made At Application,414548,,979447,,40.3736,-82.7755,"(40.3736, -82.7755)",852749,,126698,
AL,Alabama,12/01/2018,N,U,Y,16919,,N/A,,16919,,12219,,1584,,13803,,650406,,911983,,32.799,-86.8073,"(32.799, -86.8073)",739314,,172669,
