,PROC_CODE,SHORT DESCRIPTION,MDCAID_PFS_AMT,MDCARE_PFS_AMT,PP_PFS_AMT,EST_PFS_AMT_BS,PFS_AMT_BY_Albany,PFS_AMT_BY_Allegany,PFS_AMT_BY_Broome,PFS_AMT_BY_Cattaraugus,PFS_AMT_BY_Chautauqua,PFS_AMT_BY_Chemung,PFS_AMT_BY_Columbia,PFS_AMT_BY_Cortland,PFS_AMT_BY_Dutchess,PFS_AMT_BY_Erie,PFS_AMT_BY_Fulton,PFS_AMT_BY_Genesee,PFS_AMT_BY_Greene,PFS_AMT_BY_Hamilton,PFS_AMT_BY_Herkimer,PFS_AMT_BY_Lewis,PFS_AMT_BY_Livingston,PFS_AMT_BY_Monroe,PFS_AMT_BY_Montgomery,PFS_AMT_BY_Nassau,PFS_AMT_BY_Niagara,PFS_AMT_BY_Oneida,PFS_AMT_BY_Onondaga,PFS_AMT_BY_Ontario,PFS_AMT_BY_Orange,PFS_AMT_BY_Orleans,PFS_AMT_BY_Oswego,PFS_AMT_BY_Otsego,PFS_AMT_BY_Putnam,PFS_AMT_BY_Rensselaer,PFS_AMT_BY_Rockland,PFS_AMT_BY_Saratoga,PFS_AMT_BY_Schenectady,PFS_AMT_BY_Schoharie,PFS_AMT_BY_Schuyler,PFS_AMT_BY_Seneca,PFS_AMT_BY_Steuben,PFS_AMT_BY_Suffolk,PFS_AMT_BY_Sullivan,PFS_AMT_BY_Tioga,PFS_AMT_BY_Tompkins,PFS_AMT_BY_Ulster,PFS_AMT_BY_Warren,PFS_AMT_BY_Washington,PFS_AMT_BY_Wayne,PFS_AMT_BY_Westchester
10,10121,Remove foreign body           ,149.18,267.73,267.73,230.04,250.57,247.0,246.27,245.35,243.25,245.73,248.69,247.92,252.79,245.82,243.47,249.69,247.97,251.74,245.32,248.54,251.93,245.69,240.22,253.2,246.43,242.37,245.83,252.27,243.74,245.81,243.35,250.27,257.33,249.62,236.57,256.37,243.86,249.18,246.77,249.62,246.68,250.53,238.65,249.22,255.42,248.63,249.77,246.98,248.09,250.65
11,10140,Drainage of hematoma/fluid    ,85.5,160.68,160.68,136.78,149.8,147.53,147.07,146.49,145.16,146.73,148.6,148.11,151.21,146.78,145.3,149.24,148.15,150.54,146.47,148.51,150.66,146.7,143.23,151.46,147.17,144.6,146.79,150.87,145.47,146.78,145.22,149.61,154.09,149.2,140.92,153.48,145.54,148.92,147.39,149.19,147.33,149.77,142.24,148.94,152.87,148.57,149.29,147.52,148.23,149.85
12,10160,Puncture drainage of lesion   ,70.27,127.09,127.09,109.03,118.87,117.15,116.81,116.36,115.36,116.54,117.96,117.59,119.93,116.59,115.46,118.45,117.62,119.43,116.35,117.89,119.52,116.52,113.9,120.13,116.88,114.94,116.6,119.68,115.59,116.58,115.41,118.72,122.11,118.41,112.15,121.65,115.65,118.2,117.04,118.41,117.0,118.84,113.15,118.22,121.19,117.94,118.48,117.15,117.68,118.91
13,10180,Complex drainage wound        ,131.0,239.2,239.2,204.8,223.54,220.28,219.62,218.77,216.86,219.12,221.82,221.12,225.57,219.2,217.06,222.74,221.17,224.61,218.75,221.68,224.78,219.08,214.09,225.94,219.76,216.06,219.22,225.09,217.31,219.19,216.95,223.26,229.71,222.67,210.76,228.84,217.41,222.27,220.07,222.67,219.99,223.5,212.66,222.31,227.96,221.77,222.81,220.27,221.28,223.61
14,11000,Debride infected skin         ,29.85,53.79,53.79,46.18,50.33,49.6,49.46,49.27,48.85,49.35,49.94,49.79,50.77,49.36,48.89,50.15,49.8,50.56,49.27,49.91,50.6,49.34,48.23,50.86,49.49,48.67,49.37,50.67,48.95,49.36,48.87,50.26,51.69,50.13,47.5,51.5,48.97,50.04,49.56,50.13,49.54,50.32,47.92,50.05,51.3,49.93,50.16,49.6,49.82,50.34
15,11001,Debride infected skin add-on  ,12.58,21.02,21.02,18.34,19.8,19.54,19.49,19.43,19.28,19.45,19.66,19.61,19.96,19.46,19.29,19.74,19.61,19.88,19.42,19.65,19.89,19.45,19.06,19.99,19.5,19.21,19.46,19.92,19.31,19.46,19.28,19.78,20.28,19.73,18.8,20.21,19.32,19.7,19.53,19.73,19.52,19.8,18.95,19.7,20.14,19.66,19.74,19.54,19.62,19.8
16,11004,Debride genitalia & perineum  ,322.79,565.18,565.18,488.12,530.1,522.79,521.31,519.42,515.13,520.19,526.24,524.67,534.64,520.38,515.59,528.3,524.78,532.49,519.37,525.93,532.87,520.11,508.93,535.47,521.63,513.33,520.41,533.56,516.13,520.36,515.34,529.48,543.92,528.15,501.46,541.96,516.37,527.26,522.32,528.14,522.14,530.0,505.72,527.34,540.0,526.13,528.47,522.76,525.03,530.27
17,11005,Debride abdom wall            ,427.08,759.14,759.14,653.57,711.09,701.07,699.04,696.45,690.58,697.51,705.8,703.64,717.31,697.76,691.2,708.62,703.8,714.36,696.38,705.38,714.88,697.4,682.09,718.44,699.47,688.11,697.81,715.83,691.95,697.74,690.87,710.23,730.01,708.41,671.85,727.33,692.27,707.19,700.43,708.4,700.18,710.95,677.68,707.3,724.65,705.65,708.84,701.03,704.14,711.31
18,11006,Debride genit/per/abdom wall  ,404.45,689.52,689.52,598.89,648.27,639.66,637.92,635.7,630.66,636.61,643.73,641.87,653.61,636.83,631.19,646.15,642.01,651.07,635.64,643.36,651.52,636.51,623.37,654.58,638.3,628.54,636.87,652.34,631.84,636.8,630.91,647.53,664.51,645.97,614.58,662.21,632.12,644.92,639.12,645.96,638.9,648.15,619.59,645.02,659.91,643.6,646.34,639.63,642.3,648.46
19,11008,Remove mesh from abd wall     ,156.52,266.79,266.79,231.73,250.83,247.51,246.83,245.97,244.02,246.32,249.08,248.36,252.9,246.41,244.23,250.01,248.41,251.92,245.95,248.94,252.09,246.29,241.2,253.27,246.98,243.2,246.42,252.41,244.48,246.4,244.12,250.55,257.12,249.94,237.8,256.23,244.59,249.54,247.29,249.94,247.21,250.79,239.74,249.58,255.34,249.03,250.09,247.49,248.53,250.91
20,11010,Debride skin at fx site       ,268.67,490.69,490.69,420.11,458.56,451.86,450.51,448.77,444.85,449.48,455.02,453.58,462.72,449.65,445.26,456.91,453.69,460.75,448.73,454.74,461.1,449.41,439.17,463.48,450.8,443.2,449.68,461.73,445.77,449.63,445.04,457.99,471.21,456.77,432.33,469.42,445.98,455.96,451.43,456.77,451.27,458.47,436.23,456.03,467.63,454.92,457.06,451.84,453.92,458.71
21,11011,Debride skin musc at fx site  ,304.47,526.03,526.03,455.59,493.97,487.28,485.93,484.2,480.29,484.91,490.44,489.0,498.12,485.08,480.7,492.32,489.1,496.15,484.16,490.16,496.5,484.83,474.62,498.87,486.22,478.64,485.11,497.13,481.2,485.06,480.48,493.4,506.59,492.18,467.79,504.81,481.42,491.37,486.86,492.18,486.69,493.88,471.68,491.44,503.01,490.34,492.47,487.26,489.33,494.12
22,11012,Deb skin bone at fx site      ,426.15,687.78,687.78,604.6,649.92,642.02,640.43,638.39,633.76,639.22,645.75,644.05,654.82,639.42,634.25,647.97,644.18,652.49,638.33,645.42,652.91,639.13,627.07,655.71,640.77,631.82,639.46,653.65,634.84,639.4,633.99,649.25,664.83,647.81,619.0,662.72,635.1,646.85,641.52,647.8,641.32,649.81,623.6,646.94,660.6,645.63,648.15,642.0,644.44,650.1
23,11042,Deb subq tissue 20 sq cm/<    ,42.77,114.85,114.85,91.93,104.42,102.24,101.8,101.24,99.97,101.47,103.27,102.8,105.77,101.53,100.1,103.88,102.84,105.13,101.23,103.18,105.24,101.45,98.12,106.01,101.9,99.43,101.54,105.45,100.27,101.52,100.03,104.23,108.53,103.84,95.9,107.95,100.34,103.57,102.11,103.84,102.05,104.39,97.17,103.6,107.36,103.24,103.93,102.24,102.91,104.47
24,11043,Deb musc/fascia 20 sq cm/<    ,153.95,223.33,223.33,201.27,213.29,211.2,210.77,210.23,209.01,210.45,212.18,211.73,214.59,210.51,209.13,212.77,211.77,213.97,210.22,212.1,214.08,210.43,207.23,214.83,210.86,208.49,210.52,214.28,209.29,210.5,209.06,213.11,217.24,212.73,205.09,216.68,209.36,212.48,211.06,212.73,211.01,213.26,206.31,212.5,216.12,212.15,212.82,211.19,211.84,213.34
25,11044,Deb bone 20 sq cm/<           ,207.99,304.95,304.95,274.12,290.92,287.99,287.4,286.64,284.93,286.95,289.37,288.74,292.73,287.03,285.11,290.2,288.79,291.87,286.63,289.25,292.03,286.92,282.45,293.06,287.53,284.21,287.04,292.3,285.33,287.02,285.01,290.67,296.44,290.14,279.46,295.66,285.43,289.78,287.81,290.13,287.73,290.88,281.17,289.81,294.88,289.33,290.26,287.98,288.89,290.98
26,11045,Deb subq tissue add-on        ,14.52,40.23,40.23,32.06,36.51,35.73,35.58,35.38,34.92,35.46,36.1,35.93,36.99,35.48,34.97,36.32,35.95,36.76,35.37,36.07,36.8,35.45,34.26,37.08,35.61,34.73,35.48,36.88,35.03,35.48,34.94,36.44,37.97,36.3,33.47,37.77,35.05,36.21,35.68,36.3,35.66,36.5,33.92,36.22,37.56,36.09,36.34,35.73,35.97,36.53
27,11046,Deb musc/fascia add-on        ,25.26,71.03,71.03,56.48,64.41,63.03,62.75,62.39,61.58,62.53,63.68,63.38,65.26,62.57,61.67,64.07,63.4,64.86,62.38,63.62,64.93,62.52,60.41,65.42,62.81,61.24,62.58,65.06,61.77,62.57,61.62,64.29,67.01,64.04,59.0,66.65,61.81,63.87,62.94,64.04,62.9,64.39,59.8,63.88,66.28,63.66,64.1,63.02,63.45,64.44
28,11047,Deb bone add-on               ,41.37,120.09,120.09,95.06,108.7,106.32,105.84,105.23,103.84,105.48,107.44,106.93,110.17,105.54,103.98,108.11,106.97,109.47,105.21,107.34,109.6,105.45,101.82,110.44,105.95,103.25,105.55,109.82,104.16,105.53,103.9,108.5,113.18,108.06,99.4,112.55,104.24,107.77,106.17,108.06,106.11,108.67,100.78,107.8,111.91,107.41,108.17,106.31,107.05,108.75
29,11055,Trim skin lesion              ,26.66,47.23,47.23,40.69,44.25,43.63,43.51,43.35,42.98,43.41,43.93,43.79,44.64,43.43,43.02,44.1,43.8,44.46,43.34,43.9,44.49,43.41,42.46,44.71,43.53,42.83,43.43,44.55,43.07,43.43,43.0,44.2,45.43,44.09,41.82,45.26,43.09,44.01,43.59,44.09,43.58,44.24,42.18,44.02,45.09,43.92,44.11,43.63,43.82,44.27
30,11056,Trim skin lesions 2 to 4      ,32.79,57.63,57.63,49.73,54.04,53.29,53.13,52.94,52.5,53.02,53.64,53.48,54.5,53.04,52.55,53.85,53.49,54.28,52.94,53.61,54.32,53.01,51.87,54.59,53.17,52.32,53.04,54.39,52.6,53.04,52.52,53.97,55.45,53.84,51.1,55.25,52.63,53.74,53.24,53.83,53.22,54.03,51.54,53.75,55.05,53.63,53.87,53.28,53.52,54.05
31,11057,Trim skin lesions over 4      ,39.64,65.17,65.17,57.05,61.48,60.71,60.55,60.35,59.9,60.43,61.07,60.9,61.95,60.45,59.95,61.29,60.92,61.73,60.35,61.04,61.77,60.42,59.25,62.04,60.58,59.71,60.45,61.84,60.0,60.45,59.92,61.41,62.93,61.27,58.46,62.72,60.03,61.18,60.66,61.27,60.64,61.46,58.91,61.18,62.52,61.06,61.3,60.7,60.94,61.49
32,11200,Removal of skin tags <w/15    ,44.93,87.28,87.28,73.82,81.15,79.87,79.61,79.28,78.54,79.42,80.48,80.2,81.94,79.45,78.61,80.84,80.22,81.57,79.28,80.42,81.63,79.41,77.45,82.09,79.67,78.22,79.46,81.76,78.71,79.45,78.57,81.04,83.56,80.81,76.15,83.22,78.75,80.65,79.79,80.81,79.76,81.13,76.89,80.67,82.88,80.46,80.87,79.87,80.27,81.18
33,11201,Remove skin tags add-on       ,33.0,18.82,18.82,23.33,20.87,21.3,21.39,21.5,21.75,21.45,21.1,21.19,20.61,21.44,21.72,20.98,21.18,20.73,21.5,21.12,20.71,21.46,22.11,20.56,21.37,21.85,21.44,20.67,21.69,21.44,21.74,20.91,20.06,20.99,22.55,20.18,21.68,21.04,21.33,20.99,21.34,20.88,22.3,21.03,20.29,21.1,20.97,21.3,21.17,20.86
34,11300,Shave skin lesion 0.5 cm/<    ,37.93,95.47,95.47,77.18,87.14,85.41,85.06,84.61,83.59,84.79,86.23,85.85,88.22,84.83,83.7,86.72,85.88,87.71,84.6,86.15,87.8,84.77,82.12,88.42,85.13,83.16,84.84,87.96,83.83,84.83,83.64,87.0,90.42,86.68,80.34,89.96,83.88,86.47,85.3,86.68,85.25,87.12,81.36,86.49,89.49,86.2,86.75,85.4,85.94,87.18
35,11301,Shave skin lesion 0.6-1.0 cm  ,50.52,117.05,117.05,95.9,107.42,105.41,105.01,104.49,103.31,104.7,106.36,105.93,108.67,104.75,103.44,106.93,105.96,108.08,104.48,106.28,108.18,104.68,101.61,108.89,105.1,102.82,104.76,108.37,103.59,104.75,103.37,107.25,111.21,106.89,99.56,110.68,103.65,106.64,105.29,106.88,105.24,107.39,100.73,106.66,110.14,106.33,106.97,105.41,106.03,107.47
36,11302,Shave skin lesion 1.1-2.0 cm  ,60.1,137.8,137.8,113.1,126.56,124.21,123.74,123.13,121.76,123.38,125.32,124.81,128.01,123.44,121.9,125.98,124.85,127.32,123.12,125.22,127.44,123.35,119.77,128.28,123.84,121.18,123.45,127.67,122.08,123.43,121.82,126.36,130.98,125.93,117.37,130.36,122.15,125.64,124.06,125.93,124.0,126.52,118.74,125.67,129.73,125.28,126.03,124.2,124.93,126.61
37,11303,Shave skin lesion >2.0 cm     ,71.38,152.14,152.14,126.46,140.45,138.02,137.52,136.89,135.47,137.15,139.17,138.64,141.97,137.21,135.62,139.85,138.68,141.25,136.88,139.06,141.37,137.12,133.4,142.24,137.63,134.86,137.22,141.61,135.8,137.21,135.53,140.25,145.06,139.8,130.91,144.4,135.88,139.51,137.86,139.8,137.8,140.42,132.33,139.53,143.75,139.13,139.91,138.01,138.76,140.51
38,11305,Shave skin lesion 0.5 cm/<    ,38.87,96.99,96.99,78.51,88.58,86.83,86.47,86.02,84.99,86.2,87.65,87.28,89.67,86.25,85.1,88.15,87.3,89.15,86.01,87.58,89.24,86.18,83.5,89.87,86.55,84.56,86.26,89.41,85.23,86.24,85.04,88.43,91.89,88.11,81.71,91.42,85.29,87.9,86.71,88.11,86.67,88.56,82.73,87.92,90.95,87.63,88.19,86.82,87.36,88.62
39,11306,Shave skin lesion 0.6-1.0 cm  ,52.75,119.34,119.34,98.17,109.7,107.69,107.29,106.77,105.59,106.98,108.64,108.21,110.95,107.03,105.72,109.21,108.24,110.36,106.75,108.56,110.46,106.96,103.89,111.18,107.37,105.1,107.04,110.65,105.87,107.03,105.65,109.53,113.5,109.17,101.83,112.96,105.93,108.92,107.57,109.17,107.52,109.68,103.01,108.94,112.42,108.61,109.25,107.69,108.31,109.75
40,11307,Shave skin lesion 1.1-2.0 cm  ,61.42,141.49,141.49,116.03,129.9,127.49,127.0,126.37,124.96,126.63,128.63,128.11,131.4,126.69,125.11,129.31,128.15,130.69,126.36,128.53,130.82,126.6,122.91,131.68,127.1,124.36,126.7,131.05,125.29,126.68,125.03,129.7,134.47,129.26,120.44,133.82,125.37,128.96,127.33,129.26,127.27,129.87,121.85,128.99,133.17,128.59,129.36,127.48,128.23,129.96
41,11308,Shave skin lesion >2.0 cm     ,70.54,148.24,148.24,123.54,137.0,134.65,134.18,133.57,132.2,133.82,135.76,135.25,138.45,133.88,132.34,136.42,135.29,137.76,133.56,135.66,137.88,133.79,130.21,138.72,134.28,131.62,133.89,138.11,132.52,133.87,132.26,136.8,141.42,136.37,127.81,140.8,132.59,136.08,134.5,136.37,134.44,136.96,129.18,136.11,140.17,135.72,136.47,134.64,135.37,137.05
42,11310,Shave skin lesion 0.5 cm/<    ,46.49,111.18,111.18,90.61,101.82,99.87,99.47,98.97,97.82,99.17,100.79,100.37,103.03,99.22,97.94,101.34,100.4,102.46,98.95,100.71,102.56,99.15,96.17,103.25,99.56,97.34,99.23,102.74,98.09,99.22,97.88,101.65,105.51,101.3,94.17,104.98,98.15,101.06,99.74,101.3,99.69,101.79,95.31,101.08,104.46,100.76,101.38,99.86,100.46,101.86
43,11311,Shave skin lesion 0.6-1.0 cm  ,57.64,108.82,108.82,92.55,101.41,99.87,99.56,99.16,98.25,99.32,100.6,100.27,102.37,99.36,98.35,101.03,100.29,101.92,99.15,100.53,102.0,99.3,96.94,102.55,99.62,97.87,99.37,102.14,98.46,99.36,98.3,101.28,104.33,101.0,95.37,103.92,98.51,100.81,99.77,101.0,99.73,101.39,96.27,100.83,103.5,100.58,101.07,99.86,100.34,101.45
44,11312,Shave skin lesion 1.1-2.0 cm  ,67.01,156.55,156.55,128.08,143.59,140.89,140.34,139.65,138.06,139.93,142.17,141.58,145.27,140.0,138.23,142.93,141.63,144.47,139.63,142.05,144.61,139.9,135.77,145.57,140.46,137.4,140.01,144.87,138.43,139.99,138.14,143.36,148.7,142.87,133.01,147.97,138.52,142.54,140.72,142.87,140.65,143.56,134.59,142.57,147.25,142.13,142.99,140.88,141.72,143.65
45,11313,Shave skin lesion >2.0 cm     ,84.61,181.43,181.43,150.65,167.42,164.5,163.91,163.15,161.44,163.46,165.88,165.25,169.23,163.53,161.62,166.7,165.29,168.37,163.13,165.75,168.52,163.43,158.96,169.56,164.03,160.72,163.55,168.8,161.84,163.53,161.52,167.17,172.94,166.64,155.98,172.16,161.93,166.28,164.31,166.64,164.24,167.38,157.68,166.31,171.37,165.83,166.77,164.49,165.39,167.48
46,11400,Exc tr-ext b9+marg 0.5 cm<    ,66.94,122.39,122.39,104.76,114.37,112.69,112.35,111.92,110.94,112.1,113.48,113.12,115.4,112.14,111.04,113.95,113.15,114.91,111.91,113.41,115.0,112.08,109.52,115.59,112.43,110.53,112.15,115.16,111.17,112.14,110.99,114.22,117.53,113.92,107.81,117.08,111.22,113.72,112.59,113.92,112.54,114.34,108.79,113.73,116.63,113.46,113.99,112.69,113.21,114.4
47,11401,Exc tr-ext b9+marg 0.6-1 cm   ,79.91,145.91,145.91,124.93,136.36,134.37,133.96,133.45,132.28,133.66,135.31,134.88,137.6,133.71,132.41,135.87,134.91,137.01,133.44,135.22,137.11,133.64,130.59,137.82,134.05,131.79,133.72,137.3,132.56,133.71,132.34,136.19,140.12,135.83,128.56,139.59,132.62,135.58,134.24,135.83,134.19,136.33,129.72,135.61,139.05,135.28,135.91,134.36,134.98,136.4
48,11402,Exc tr-ext b9+marg 1.1-2 cm   ,88.74,162.46,162.46,139.02,151.79,149.57,149.12,148.54,147.24,148.78,150.62,150.14,153.17,148.83,147.38,151.24,150.17,152.52,148.53,150.52,152.63,148.75,145.35,153.42,149.21,146.69,148.84,152.84,147.54,148.83,147.3,151.6,155.99,151.2,143.08,155.4,147.62,150.93,149.43,151.2,149.37,151.76,144.38,150.95,154.8,150.58,151.29,149.56,150.25,151.84
49,11403,Exc tr-ext b9+marg 2.1-3cm    ,101.7,187.45,187.45,160.19,175.04,172.45,171.93,171.26,169.75,171.53,173.67,173.12,176.65,171.6,169.91,174.4,173.16,175.89,171.24,173.57,176.02,171.51,167.55,176.94,172.04,169.11,171.61,176.27,170.1,171.59,169.82,174.82,179.93,174.35,164.91,179.24,170.18,174.03,172.29,174.35,172.22,175.01,166.42,174.06,178.54,173.64,174.46,172.44,173.25,175.1
50,11404,Exc tr-ext b9+marg 3.1-4 cm   ,115.54,212.01,212.01,181.34,198.05,195.14,194.55,193.8,192.09,194.1,196.51,195.89,199.86,194.18,192.27,197.33,195.93,199.0,193.78,196.39,199.15,194.07,189.62,200.18,194.68,191.37,194.19,199.43,192.49,194.17,192.17,197.8,203.55,197.27,186.65,202.77,192.58,196.92,194.95,197.27,194.88,198.01,188.35,196.95,201.99,196.47,197.4,195.13,196.03,198.11
51,11406,Exc tr-ext b9+marg >4.0 cm    ,159.31,304.84,304.84,258.57,283.78,279.39,278.5,277.36,274.79,277.83,281.46,280.52,286.51,277.94,275.06,282.7,280.59,285.21,277.34,281.28,285.44,277.78,271.07,287.0,278.69,273.71,277.96,285.86,275.39,277.93,274.92,283.41,292.07,282.61,266.58,290.9,275.54,282.07,279.11,282.6,279.0,283.72,269.14,282.12,289.72,281.4,282.8,279.37,280.73,283.88
52,11420,Exc h-f-nk-sp b9+marg 0.5/<   ,66.71,120.02,120.02,103.07,112.31,110.7,110.37,109.96,109.01,110.13,111.46,111.11,113.3,110.17,109.11,111.91,111.14,112.83,109.94,111.39,112.91,110.11,107.65,113.49,110.44,108.62,110.17,113.07,109.23,110.16,109.06,112.17,115.34,111.88,106.01,114.91,109.29,111.68,110.59,111.87,110.55,112.28,106.94,111.7,114.48,111.43,111.95,110.69,111.19,112.34
53,11421,Exc h-f-nk-sp b9+marg 0.6-1   ,85.02,153.3,153.3,131.59,143.42,141.36,140.94,140.41,139.2,140.63,142.33,141.89,144.7,140.68,139.33,142.91,141.92,144.09,140.4,142.24,144.2,140.6,137.46,144.93,141.03,138.69,140.69,144.39,139.48,140.67,139.26,143.24,147.31,142.87,135.35,146.76,139.55,142.62,141.23,142.87,141.18,143.39,136.55,142.64,146.21,142.3,142.96,141.35,141.99,143.47
54,11422,Exc h-f-nk-sp b9+marg 1.1-2   ,95.03,172.07,172.07,147.58,160.92,158.6,158.13,157.53,156.16,157.77,159.69,159.19,162.36,157.83,156.31,160.35,159.23,161.68,157.51,159.6,161.8,157.75,154.19,162.63,158.23,155.59,157.84,162.02,156.48,157.82,156.23,160.72,165.31,160.3,151.82,164.69,156.56,160.02,158.45,160.3,158.39,160.89,153.17,160.04,164.07,159.66,160.4,158.59,159.31,160.97
