,PROC_CODE,SHORT DESCRIPTION,MDCAID_PFS_AMT,MDCARE_PFS_AMT,PP_PFS_AMT,EST_PFS_AMT_BS,PFS_AMT_BY_Fairfield,PFS_AMT_BY_Hartford,PFS_AMT_BY_Litchfield,PFS_AMT_BY_Middlesex,PFS_AMT_BY_New_Haven,PFS_AMT_BY_New_London,PFS_AMT_BY_Tolland,PFS_AMT_BY_Windham
16,11462,Removal sweat gland lesion    ,446.0,422.55,422.55,428.17,428.5,430.31,428.31,427.49,430.69,429.45,426.5,430.47
17,11463,Removal sweat gland lesion    ,446.0,552.41,552.41,526.92,525.43,517.18,526.27,530.01,515.49,521.08,534.5,516.45
18,11470,Removal sweat gland lesion    ,446.0,464.73,464.73,460.24,459.98,458.53,460.13,460.79,458.23,459.22,461.58,458.4
19,11471,Removal sweat gland lesion    ,446.0,573.93,573.93,543.28,541.49,531.57,542.5,547.0,529.54,536.26,552.4,530.7
20,11604,Exc tr-ext mal+marg 3.1-4 cm  ,418.49,352.12,352.12,368.02,368.95,374.1,368.42,366.09,375.15,371.66,363.29,374.55
21,11606,Exc tr-ext mal+marg >4 cm     ,446.0,502.94,502.94,489.3,488.5,484.09,488.95,490.95,483.18,486.18,493.36,483.7
22,11624,Exc s/n/h/f/g mal+mrg 3.1-4   ,446.0,378.68,378.68,394.81,395.75,400.97,395.22,392.85,402.04,398.5,390.01,401.43
23,11626,Exc s/n/h/f/g mal+mrg >4 cm   ,446.0,454.58,454.58,452.52,452.4,451.74,452.47,452.77,451.6,452.05,453.14,451.68
24,11644,Exc f/e/e/n/l mal+mrg 3.1-4   ,446.0,440.14,440.14,441.54,441.63,442.08,441.58,441.37,442.17,441.87,441.13,442.12
25,11646,Exc f/e/e/n/l mal+mrg >4 cm   ,446.0,571.66,571.66,541.55,539.79,530.05,540.79,545.21,528.06,534.66,550.51,529.19
26,11770,Remove pilonidal cyst simple  ,510.0,310.02,310.02,357.93,360.73,376.24,359.15,352.12,379.41,368.9,343.68,377.6
27,11771,Remove pilonidal cyst exten   ,510.0,647.27,647.27,614.38,612.46,601.82,613.55,618.37,599.64,606.85,624.17,600.88
28,11772,Remove pilonidal cyst compl   ,510.0,779.29,779.29,714.77,711.0,690.12,713.14,722.6,685.85,700.01,733.97,688.29
29,11960,Insert tissue expander(s)     ,446.0,1067.47,1067.47,918.58,909.87,861.69,914.8,936.65,851.82,884.5,962.87,857.45
30,11970,Replace tissue expander       ,510.0,681.31,681.31,640.27,637.87,624.59,639.23,645.25,621.87,630.87,652.48,623.42
31,11971,Remove tissue expander(s)     ,333.0,528.94,528.94,482.0,479.25,464.06,480.81,487.69,460.95,471.25,495.96,462.72
32,12005,Rpr s/n/a/gen/trk12.6-20.0cm  ,91.24,180.28,180.28,158.95,157.7,150.8,158.41,161.54,149.38,154.06,165.29,150.19
33,12006,Rpr s/n/a/gen/trk20.1-30.0cm  ,91.24,214.09,214.09,184.66,182.94,173.41,183.91,188.23,171.46,177.92,193.41,172.57
34,12007,Rpr s/n/ax/gen/trnk >30.0 cm  ,91.24,247.07,247.07,209.74,207.55,195.47,208.79,214.27,193.0,201.19,220.84,194.41
35,12016,Rpr fe/e/en/l/m 12.6-20.0 cm  ,91.24,227.71,227.71,195.01,193.1,182.52,194.18,198.98,180.36,187.53,204.74,181.59
36,12017,Rpr fe/e/en/l/m 20.1-30.0 cm  ,91.24,167.89,167.89,149.53,148.45,142.51,149.06,151.75,141.29,145.32,154.99,141.99
37,12018,Rpr f/e/e/n/l/m >30.0 cm      ,91.24,190.06,190.06,166.38,165.0,157.34,165.78,169.26,155.77,160.97,173.43,156.66
38,12020,Closure of split wound        ,91.24,313.56,313.56,260.3,257.18,239.95,258.94,266.76,236.42,248.1,276.14,238.43
39,12021,Closure of split wound        ,91.24,182.3,182.3,160.48,159.21,152.15,159.93,163.13,150.7,155.49,166.97,151.53
40,12034,Intmd rpr s/tr/ext 7.6-12.5   ,91.24,349.82,349.82,287.87,284.25,264.2,286.3,295.39,260.09,273.69,306.3,262.44
41,12035,Intmd rpr s/a/t/ext 12.6-20   ,91.24,425.91,425.91,345.73,341.04,315.1,343.69,355.46,309.78,327.38,369.58,312.81
42,12036,Intmd rpr s/a/t/ext 20.1-30   ,91.24,472.94,472.94,381.49,376.15,346.55,379.17,392.59,340.49,360.56,408.7,343.95
43,12037,Intmd rpr s/tr/ext >30.0 cm   ,323.28,537.8,537.8,486.41,483.4,466.77,485.1,492.64,463.36,474.64,501.69,465.31
44,12044,Intmd rpr n-hf/genit7.6-12.5  ,91.24,402.8,402.8,328.16,323.79,299.64,326.26,337.22,294.69,311.07,350.36,297.51
45,12045,Intmd rpr n-hf/genit12.6-20   ,91.24,447.11,447.11,361.85,356.87,329.28,359.69,372.2,323.62,342.33,387.21,326.85
46,12046,Intmd rpr n-hf/genit20.1-30   ,91.24,539.65,539.65,432.22,425.94,391.18,429.49,445.26,384.05,407.63,464.18,388.11
47,12047,Intmd rpr n-hf/genit >30.0cm  ,323.28,593.99,593.99,529.13,525.34,504.35,527.49,537.0,500.05,514.29,548.43,502.51
48,12054,Intmd rpr face/mm 7.6-12.5cm  ,91.24,402.34,402.34,327.81,323.45,299.33,325.91,336.85,294.39,310.75,349.98,297.21
49,12055,Intmd rpr face/mm 12.6-20 cm  ,91.24,520.08,520.08,417.34,411.33,378.09,414.73,429.81,371.27,393.82,447.9,375.16
50,12056,Intmd rpr face/mm 20.1-30.0   ,91.24,622.12,622.12,494.93,487.5,446.34,491.7,510.37,437.91,465.82,532.77,442.71
51,12057,Intmd rpr face/mm >30.0 cm    ,323.28,659.27,659.27,578.77,574.07,548.02,576.73,588.54,542.68,560.35,602.72,545.73
52,13100,Cmplx rpr trunk 1.1-2.5 cm    ,323.28,374.44,374.44,362.18,361.47,357.5,361.87,363.67,356.69,359.38,365.83,357.15
53,13101,Cmplx rpr trunk 2.6-7.5 cm    ,323.28,442.37,442.37,413.84,412.17,402.94,413.11,417.3,401.05,407.31,422.33,402.12
54,13102,Cmplx rpr trunk addl 5cm/<    ,91.24,135.93,135.93,125.22,124.6,121.13,124.95,126.52,120.42,122.77,128.41,120.83
55,13120,Cmplx rpr s/a/l 1.1-2.5 cm    ,91.24,391.46,391.46,319.53,315.33,292.05,317.71,328.26,287.28,303.07,340.93,290.0
56,13121,Cmplx rpr s/a/l 2.6-7.5 cm    ,91.24,476.72,476.72,384.37,378.97,349.08,382.02,395.58,342.96,363.23,411.84,346.45
57,13122,Cmplx rpr s/a/l addl 5 cm/>   ,91.24,148.24,148.24,134.58,133.79,129.37,134.24,136.24,128.46,131.46,138.65,128.98
58,13131,Cmplx rpr f/c/c/m/n/ax/g/h/f  ,91.24,430.21,430.21,349.0,344.25,317.97,346.94,358.86,312.59,330.41,373.16,315.66
59,13132,Cmplx rpr f/c/c/m/n/ax/g/h/f  ,91.24,530.82,530.82,425.5,419.35,385.27,422.83,438.29,378.29,401.4,456.84,382.27
60,13133,Cmplx rpr f/c/c/m/n/ax/g/h/f  ,91.24,197.88,197.88,172.33,170.84,162.57,171.68,175.43,160.88,166.48,179.93,161.84
61,13151,Cmplx rpr e/n/e/l 1.1-2.5 cm  ,323.28,469.91,469.91,434.78,432.73,421.36,433.89,439.04,419.03,426.74,445.23,420.36
62,13152,Cmplx rpr e/n/e/l 2.6-7.5 cm  ,323.28,563.88,563.88,506.24,502.87,484.21,504.77,513.23,480.39,493.04,523.39,482.57
63,13153,Cmplx rpr e/n/e/l addl 5cm/<  ,91.24,214.68,214.68,185.11,183.38,173.81,184.36,188.7,171.85,178.34,193.9,172.96
64,13160,Late closure of wound         ,446.0,891.4,891.4,784.69,778.45,743.92,781.98,797.64,736.85,760.26,816.44,740.88
65,14000,Tis trnfr trunk 10 sq cm/<    ,446.0,694.61,694.61,635.05,631.57,612.29,633.54,642.28,608.34,621.41,652.77,610.59
66,14001,Tis trnfr trunk 10.1-30sqcm   ,510.0,895.94,895.94,803.48,798.07,768.15,801.13,814.7,762.02,782.31,830.98,765.52
67,14020,Tis trnfr s/a/l 10 sq cm/<    ,510.0,776.09,776.09,712.34,708.61,687.98,710.72,720.08,683.76,697.75,731.31,686.17
68,14021,Tis trnfr s/a/l 10.1-30 sqcm  ,510.0,969.17,969.17,859.16,852.73,817.13,856.37,872.51,809.84,833.98,891.89,814.0
69,14040,Tis trnfr f/c/c/m/n/a/g/h/f   ,446.0,847.15,847.15,751.04,745.42,714.32,748.6,762.71,707.95,729.04,779.63,711.59
70,14041,Tis trnfr f/c/c/m/n/a/g/h/f   ,510.0,1048.96,1048.96,919.84,912.29,870.5,916.56,935.51,861.94,890.28,958.25,866.82
71,14060,Tis trnfr e/n/e/l 10 sq cm/<  ,510.0,863.06,863.06,778.47,773.53,746.16,776.33,788.74,740.55,759.11,803.64,743.75
72,14061,Tis trnfr e/n/e/l10.1-30sqcm  ,510.0,1129.01,1129.01,980.71,972.04,924.05,976.94,998.71,914.21,946.76,1024.83,919.82
73,14301,Tis trnfr any 30.1-60 sq cm   ,630.0,1197.84,1197.84,1061.8,1053.84,1009.82,1058.34,1078.31,1000.8,1030.66,1102.27,1005.94
74,14350,Filleted finger/toe flap      ,510.0,757.04,757.04,697.85,694.39,675.24,696.35,705.04,671.32,684.31,715.46,673.56
75,15002,Wound prep trk/arm/leg        ,323.28,388.85,388.85,373.14,372.22,367.14,372.74,375.05,366.1,369.54,377.81,366.69
76,15003,Wound prep addl 100 cm        ,323.28,84.67,84.67,141.84,145.18,163.68,143.29,134.9,167.47,154.92,124.83,165.31
77,15004,Wound prep f/n/hf/g           ,323.28,443.75,443.75,414.89,413.2,403.86,414.16,418.39,401.95,408.28,423.47,403.04
78,15005,Wnd prep f/n/hf/g addl cm     ,323.28,138.76,138.76,182.97,185.55,199.86,184.09,177.6,202.79,193.09,169.82,201.12
79,15040,Harvest cultured skin graft   ,91.24,282.08,282.08,236.36,233.69,218.89,235.2,241.91,215.86,225.89,249.96,217.59
80,15050,Skin pinch graft              ,323.28,625.69,625.69,553.24,549.0,525.56,551.4,562.03,520.75,536.65,574.79,523.49
81,15100,Skin splt grft trnk/arm/leg   ,446.0,955.91,955.91,833.75,826.6,787.07,830.64,848.57,778.97,805.78,870.09,783.59
82,15101,Skin splt grft t/a/l add-on   ,510.0,207.53,207.53,280.0,284.23,307.68,281.84,271.2,312.49,296.58,258.44,309.75
83,15110,Epidrm autogrft trnk/arm/leg  ,446.0,881.54,881.54,777.19,771.09,737.33,774.54,789.86,730.41,753.31,808.24,734.35
84,15111,Epidrm autogrft t/a/l add-on  ,333.0,131.56,131.56,179.82,182.64,198.26,181.05,173.96,201.46,190.87,165.46,199.63
85,15115,Epidrm a-grft face/nck/hf/g   ,446.0,869.27,869.27,767.86,761.93,729.12,765.29,780.17,722.4,744.65,798.03,726.23
86,15116,Epidrm a-grft f/n/hf/g addl   ,333.0,188.18,188.18,222.88,224.9,236.13,223.76,218.67,238.43,230.82,212.55,237.12
87,15120,Skn splt a-grft fac/nck/hf/g  ,446.0,944.66,944.66,825.19,818.21,779.55,822.16,839.69,771.63,797.84,860.73,776.14
88,15121,Skn splt a-grft f/n/hf/g add  ,510.0,231.99,231.99,298.6,302.49,324.04,300.29,290.51,328.46,313.84,278.78,325.94
89,15130,Derm autograft trnk/arm/leg   ,446.0,735.39,735.39,666.06,662.0,639.57,664.3,674.47,634.97,650.19,686.68,637.59
90,15131,Derm autograft t/a/l add-on   ,333.0,111.32,111.32,164.43,167.54,184.72,165.78,157.98,188.24,176.59,148.63,186.23
91,15135,Derm autograft face/nck/hf/g  ,446.0,940.26,940.26,821.84,814.92,776.6,818.84,836.22,768.75,794.74,857.07,773.23
92,15136,Derm autograft f/n/hf/g add   ,333.0,110.11,110.11,163.51,166.63,183.91,164.87,157.03,187.45,175.73,147.62,185.43
93,15150,Cult skin grft t/arm/leg      ,446.0,778.3,778.3,698.69,694.03,668.27,696.67,708.35,662.99,680.46,722.37,666.0
94,15151,Cult skin grft t/a/l addl     ,333.0,134.88,134.88,182.35,185.12,200.48,183.55,176.58,203.63,193.21,168.22,201.83
95,15152,Cult skin graft t/a/l +%      ,333.0,175.44,175.44,213.19,215.4,227.61,214.15,208.61,230.11,221.83,201.96,228.69
96,15155,Cult skin graft f/n/hf/g      ,446.0,890.71,890.71,784.17,777.94,743.46,781.46,797.1,736.4,759.78,815.86,740.43
97,15156,Cult skin grft f/n/hfg add    ,333.0,180.54,180.54,217.07,219.2,231.02,217.99,212.63,233.44,225.43,206.2,232.06
98,15157,Cult epiderm grft f/n/hfg +%  ,333.0,201.69,201.69,233.15,234.99,245.17,233.95,229.33,247.25,240.35,223.79,246.06
99,15200,Skin full graft trunk         ,510.0,928.51,928.51,828.24,822.38,789.94,825.7,840.41,783.29,805.29,858.07,787.08
100,15201,Skin full graft trunk add-on  ,323.28,165.44,165.44,203.26,205.47,217.7,204.22,198.67,220.21,211.91,192.01,218.78
101,15220,Skin full graft sclp/arm/leg  ,446.0,860.13,860.13,760.91,755.11,723.01,758.39,772.95,716.43,738.2,790.43,720.18
102,15221,Skin full graft add-on        ,323.28,152.51,152.51,193.42,195.82,209.05,194.46,188.46,211.77,202.79,181.25,210.22
103,15240,Skin full grft face/genit/hf  ,510.0,1039.18,1039.18,912.4,904.99,863.96,909.18,927.79,855.56,883.38,950.12,860.35
104,15241,Skin full graft add-on        ,323.28,205.22,205.22,233.5,235.16,244.31,234.22,230.07,246.19,239.98,225.09,245.12
105,15260,Skin full graft een & lips    ,446.0,1126.68,1126.68,963.6,954.07,901.3,959.46,983.4,890.48,926.27,1012.12,896.65
106,15261,Skin full graft add-on        ,323.28,239.04,239.04,259.22,260.4,266.93,259.73,256.77,268.27,263.84,253.22,267.51
107,15271,Skin sub graft trnk/arm/leg   ,323.28,157.49,157.49,197.21,199.53,212.39,198.22,192.39,215.02,206.3,185.39,213.52
108,15272,Skin sub graft t/a/l add-on   ,323.28,30.4,30.4,100.57,104.67,127.38,102.35,92.05,132.03,116.63,79.69,129.38
109,15273,Skin sub grft t/arm/lg child  ,323.28,335.75,335.75,332.76,332.59,331.62,332.69,333.13,331.42,332.08,333.65,331.54
110,15274,Skn sub grft t/a/l child add  ,323.28,79.52,79.52,137.92,141.33,160.23,139.4,130.83,164.1,151.29,120.55,161.9
111,15275,Skin sub graft face/nk/hf/g   ,323.28,165.47,165.47,203.28,205.49,217.72,204.24,198.69,220.23,211.93,192.03,218.8
112,15276,Skin sub graft f/n/hf/g addl  ,323.28,38.3,38.3,106.58,110.57,132.66,108.31,98.29,137.19,122.2,86.26,134.61
113,15277,Skn sub grft f/n/hf/g child   ,323.28,366.8,366.8,356.37,355.76,352.39,356.11,357.64,351.7,353.99,359.48,352.09
114,15278,Skn sub grft f/n/hf/g ch add  ,323.28,95.03,95.03,149.71,152.91,170.61,151.1,143.08,174.23,162.23,133.45,172.16
115,15570,Skin pedicle flap trunk       ,510.0,1019.94,1019.94,897.77,890.63,851.09,894.67,912.6,842.99,869.8,934.11,847.61
116,15572,Skin pedicle flap arms/legs   ,510.0,991.81,991.81,876.38,869.63,832.28,873.45,890.39,824.62,849.95,910.72,828.99
117,15574,Pedcle fh/ch/ch/m/n/ax/g/h/f  ,510.0,1011.82,1011.82,891.59,884.56,845.66,888.54,906.19,837.69,864.07,927.36,842.24
118,15576,Pedicle e/n/e/l/ntroral       ,510.0,894.98,894.98,802.75,797.35,767.51,800.41,813.94,761.39,781.63,830.19,764.88
119,15600,Delay flap trunk              ,510.0,364.26,364.26,399.18,401.22,412.52,400.06,394.94,414.83,407.17,388.79,413.51
120,15610,Delay flap arms/legs          ,510.0,399.78,399.78,426.19,427.73,436.28,426.86,422.98,438.03,432.23,418.33,437.03
121,15620,Delay flap f/c/c/n/ax/g/h/f   ,630.0,487.94,487.94,521.97,523.96,534.98,522.84,517.84,537.23,529.77,511.85,535.95
122,15630,Delay flap eye/nos/ear/lip    ,510.0,511.89,511.89,511.44,511.41,511.26,511.43,511.49,511.23,511.33,511.57,511.25
123,15650,Transfer skin pedicle flap    ,717.0,562.39,562.39,599.43,601.6,613.58,600.37,594.94,616.04,607.91,588.41,614.64
124,15730,Mdfc flap w/prsrv vasc pedcl  ,510.0,1736.14,1736.14,1442.38,1425.21,1330.15,1434.92,1478.03,1310.67,1375.14,1529.77,1321.78
125,15731,Forehead flap w/vasc pedicle  ,510.0,1243.68,1243.68,1067.9,1057.63,1000.75,1063.44,1089.24,989.09,1027.67,1120.2,995.74
126,15733,Musc myoq/fscq flp h&n pedcl  ,510.0,1167.4,1167.4,1009.9,1000.69,949.73,1005.9,1029.02,939.28,973.85,1056.76,945.24
127,15734,Muscle-skin graft trunk       ,510.0,1691.85,1691.85,1408.7,1392.15,1300.52,1401.51,1443.07,1281.75,1343.89,1492.94,1292.46
128,15736,Muscle-skin graft arm         ,510.0,1378.11,1378.11,1170.13,1157.97,1090.67,1164.85,1195.37,1076.88,1122.52,1232.0,1084.74
129,15738,Muscle-skin graft leg         ,510.0,1479.74,1479.74,1247.41,1233.83,1158.65,1241.51,1275.61,1143.24,1194.23,1316.53,1152.03
130,15740,Island pedicle flap graft     ,446.0,1129.57,1129.57,965.8,956.22,903.23,961.64,985.68,892.37,928.31,1014.52,898.56
131,15750,Neurovascular pedicle flap    ,446.0,1020.95,1020.95,883.2,875.15,830.58,879.71,899.92,821.44,851.67,924.18,826.65
132,15760,Composite skin graft          ,446.0,945.98,945.98,826.19,819.19,780.43,823.15,840.73,772.49,798.78,861.83,777.02
133,15770,Derma-fat-fascia graft        ,510.0,740.66,740.66,685.4,682.17,664.29,684.0,692.11,660.62,672.75,701.84,662.71
134,15820,Revision of lower eyelid      ,510.0,619.53,619.53,593.29,591.75,583.26,592.62,596.47,581.52,587.28,601.1,582.52
135,15821,Revision of lower eyelid      ,510.0,676.24,676.24,636.41,634.08,621.2,635.4,641.25,618.55,627.3,648.26,620.06
136,15822,Revision of upper eyelid      ,510.0,497.44,497.44,500.45,500.63,501.6,500.53,500.08,501.8,501.14,499.55,501.68
137,15823,Revision of upper eyelid      ,717.0,675.92,675.92,685.76,686.34,689.52,686.01,684.57,690.17,688.01,682.83,689.8
138,15824,Removal of forehead wrinkles  ,510.0,0.0,0.0,122.19,129.33,168.87,125.29,107.36,176.97,150.16,85.84,172.35
139,15825,Removal of neck wrinkles      ,510.0,0.0,0.0,122.19,129.33,168.87,125.29,107.36,176.97,150.16,85.84,172.35
140,15826,Removal of brow wrinkles      ,510.0,0.0,0.0,122.19,129.33,168.87,125.29,107.36,176.97,150.16,85.84,172.35
141,15828,Removal of face wrinkles      ,510.0,0.0,0.0,122.19,129.33,168.87,125.29,107.36,176.97,150.16,85.84,172.35
142,15829,Removal of skin wrinkles      ,717.0,0.0,0.0,171.78,181.82,237.41,176.14,150.93,248.8,211.1,120.68,242.3
143,15830,Exc skin abd                  ,510.0,1312.73,1312.73,1120.41,1109.17,1046.94,1115.53,1143.75,1034.18,1076.39,1177.63,1041.46
144,15832,Excise excessive skin thigh   ,510.0,1017.91,1017.91,896.22,889.11,849.73,893.14,910.99,841.67,868.37,932.43,846.27
145,15833,Excise excessive skin leg     ,510.0,972.95,972.95,862.04,855.55,819.66,859.22,875.5,812.31,836.65,895.03,816.5
146,15834,Excise excessive skin hip     ,510.0,991.04,991.04,875.79,869.05,831.76,872.87,889.78,824.12,849.41,910.08,828.48
147,15835,Excise excessive skin buttck  ,323.28,1046.37,1046.37,873.13,863.0,806.95,868.73,894.16,795.46,833.48,924.67,802.01
148,15836,Excise excessive skin arm     ,510.0,881.57,881.57,792.55,787.34,758.54,790.29,803.35,752.64,772.17,819.03,756.0
149,15839,Excise excess skin & tissue   ,510.0,982.06,982.06,868.96,862.35,825.76,866.09,882.69,818.26,843.08,902.61,822.53
150,15840,Nerve palsy fascial graft     ,630.0,1109.83,1109.83,994.87,988.15,950.95,991.95,1008.82,943.33,968.56,1029.07,947.68
151,15841,Nerve palsy muscle graft      ,630.0,1988.27,1988.27,1662.85,1643.83,1538.53,1654.6,1702.35,1516.95,1588.37,1759.66,1529.26
152,15845,Skin and muscle repair face   ,630.0,1110.31,1110.31,995.24,988.51,951.27,992.32,1009.2,943.64,968.9,1029.47,947.99
153,15876,Suction lipectomy head&neck   ,510.0,0.0,0.0,122.19,129.33,168.87,125.29,107.36,176.97,150.16,85.84,172.35
154,15877,Suction lipectomy trunk       ,510.0,0.0,0.0,122.19,129.33,168.87,125.29,107.36,176.97,150.16,85.84,172.35
155,15878,Suction lipectomy upr extrem  ,510.0,0.0,0.0,122.19,129.33,168.87,125.29,107.36,176.97,150.16,85.84,172.35
156,15879,Suction lipectomy lwr extrem  ,510.0,0.0,0.0,122.19,129.33,168.87,125.29,107.36,176.97,150.16,85.84,172.35
157,15920,Removal of tail bone ulcer    ,251.52,678.4,678.4,576.13,570.15,537.05,573.53,588.54,530.27,552.72,606.55,534.14
158,15922,Removal of tail bone ulcer    ,630.0,872.51,872.51,814.41,811.01,792.21,812.93,821.46,788.36,801.11,831.69,790.56
159,15931,Remove sacrum pressure sore   ,510.0,770.72,770.72,708.26,704.6,684.39,706.67,715.84,680.25,693.96,726.84,682.61
160,15933,Remove sacrum pressure sore   ,510.0,945.87,945.87,841.44,835.34,801.55,838.79,854.12,794.62,817.54,872.51,798.57
161,15934,Remove sacrum pressure sore   ,510.0,1045.54,1045.54,917.23,909.73,868.22,913.98,932.81,859.71,887.87,955.41,864.56
162,15935,Remove sacrum pressure sore   ,630.0,1218.4,1218.4,1077.43,1069.19,1023.57,1073.85,1094.54,1014.23,1045.16,1119.37,1019.56
163,15936,Remove sacrum pressure sore   ,630.0,993.08,993.08,906.09,901.01,872.86,903.89,916.65,867.09,886.18,931.97,870.38
164,15937,Remove sacrum pressure sore   ,630.0,1152.56,1152.56,1027.36,1020.05,979.53,1024.19,1042.56,971.23,998.71,1064.61,975.97
165,15940,Remove hip pressure sore      ,510.0,778.83,778.83,714.42,710.66,689.82,712.79,722.24,685.55,699.68,733.58,687.98
166,15941,Remove hip pressure sore      ,510.0,1006.56,1006.56,887.59,880.64,842.14,884.57,902.03,834.25,860.36,922.99,838.75
167,15944,Remove hip pressure sore      ,510.0,990.85,990.85,875.65,868.91,831.63,872.72,889.63,824.0,849.28,909.92,828.35
168,15945,Remove hip pressure sore      ,630.0,1098.67,1098.67,986.39,979.82,943.49,983.54,1000.01,936.04,960.68,1019.79,940.29
169,15946,Remove hip pressure sore      ,630.0,1821.57,1821.57,1536.09,1519.4,1427.03,1528.85,1570.74,1408.1,1470.75,1621.02,1418.89
170,15950,Remove thigh pressure sore    ,510.0,664.88,664.88,627.77,625.6,613.6,626.83,632.28,611.14,619.28,638.81,612.54
171,15951,Remove thigh pressure sore    ,630.0,980.85,980.85,896.79,891.88,864.68,894.66,907.0,859.11,877.55,921.8,862.28
172,15952,Remove thigh pressure sore    ,510.0,1008.8,1008.8,889.3,882.31,843.64,886.26,903.8,835.72,861.94,924.85,840.24
173,15953,Remove thigh pressure sore    ,630.0,1109.83,1109.83,994.87,988.15,950.95,991.95,1008.82,943.33,968.56,1029.07,947.68
174,15956,Remove thigh pressure sore    ,510.0,1285.26,1285.26,1099.52,1088.66,1028.56,1094.81,1122.07,1016.25,1057.01,1154.78,1023.27
175,15958,Remove thigh pressure sore    ,630.0,1314.5,1314.5,1150.51,1140.92,1087.85,1146.34,1170.41,1076.98,1112.97,1199.29,1083.18
176,16025,Dress/debrid p-thick burn m   ,67.11,164.57,164.57,141.22,139.86,132.3,140.63,144.05,130.75,135.88,148.17,131.63
177,16030,Dress/debrid p-thick burn l   ,99.83,208.76,208.76,182.66,181.14,172.69,182.0,185.83,170.96,176.69,190.43,171.95
178,19020,Incision of breast lesion     ,446.0,534.66,534.66,513.42,512.18,505.3,512.88,516.0,503.9,508.56,519.74,504.7
179,19081,Bx breast 1st lesion strtctc  ,240.0,776.89,776.89,648.26,640.74,599.12,645.0,663.87,590.59,618.82,686.53,595.45
180,19082,Bx breast add lesion strtctc  ,240.0,644.48,644.48,547.57,541.91,510.55,545.11,559.34,504.13,525.39,576.4,507.79
181,19083,Bx breast 1st lesion us imag  ,240.0,755.75,755.75,632.19,624.96,584.98,629.05,647.18,576.79,603.9,668.95,581.46
182,19084,Bx breast add lesion us imag  ,240.0,618.64,618.64,527.93,522.62,493.27,525.62,538.94,487.25,507.16,554.91,490.68
183,19085,Bx breast 1st lesion mr imag  ,240.0,1131.37,1131.37,917.81,905.33,836.23,912.39,943.73,822.07,868.93,981.35,830.14
184,19086,Bx breast add lesion mr imag  ,240.0,919.99,919.99,757.08,747.55,694.84,752.94,776.85,684.03,719.79,805.54,690.19
185,19100,Bx breast percut w/o image    ,240.0,169.07,169.07,186.06,187.06,192.56,186.49,184.0,193.68,189.95,181.01,193.04
186,19101,Biopsy of breast open         ,446.0,383.08,383.08,398.15,399.04,403.91,398.54,396.32,404.91,401.61,393.67,404.34
187,19110,Nipple exploration            ,446.0,548.5,548.5,523.94,522.51,514.56,523.32,526.92,512.93,518.32,531.25,513.86
