"HCPCS CODE","MODIFIER","SHORT DESCRIPTION","PROC STAT","MAC LOCALITY","NON-FACILITY PRICE","FACILITY PRICE","NON-FACILITY LIMITING CHARGE","FACILITY LIMITING CHARGE","CONV FACT","GPCI WORK","GPCI PE","GPCI MP","PROC STAT","PCTC","NOT USED FOR MEDICARE","WORK RVU","NA FLAG FOR NON-FAC PE RVU","NON-FACILITY PE RVU","NA FLAG FOR TRANS NON-FAC PE RVU","TRANSITIONED NON-FAC PE RVU","NA FLG FOR FULLY IMP NON-FAC PE RVU","FULLY IMPLEMENTED NON-FAC PE RVU","NA FLAG FOR TRANS FACILITY PE RVU","NA FLAG FOR FACILITY PE RVU","FACILITY PE RVU","TRANSITIONED FACILITY PE RVU","NA FLAG FOR FULLY IMP FAC PE RVU","FULLY IMPLEMENTED FACILITY PE RVU","MP RVU","NON-FACILITY TOTAL","TRANSITIONED NON-FAC TOTAL","FACILITY TOTAL","TRANSITIONED FACILITY TOTAL","FULLY IMPLEMENTED NON-FAC TOTAL","FULLY IMPLEMENTED FACILITY TOTAL","PCTC","GLOBAL","PRE OP","INTRA OP","POST OP","MULT SURG","BILT SURG","ASST SURG","CO SURG","TEAM SURG","PHYS SUPV","ENDOBASE","CONV FACT","NOT USED FOR MEDICARE","DIAG IMAGING FAMILY IND","OPPS NON-FACILITY PAYMENT AMOUNT<sup>1</sup>","OPPS FACILITY PAYMENT AMOUNT<sup>1</sup>","NON-FAC PE USED FOR OPPS PMT AMT","FACILITY PE USED FOR OPPS PMT AMT","MALPRACTICE USED FOR OPPS PMT AMT",
"11004","","Debride genitalia & perineum  ","A","1328299","$565.18","$565.18","NA","$617.46","35.9996","","","","A","","","","","","NA","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$388.80","$388.80","","","",
"11005","","Debride abdom wall            ","A","1328299","$759.14","$759.14","NA","$829.36","35.9996","","","","A","","","","","","NA","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$512.63","$512.63","","","",
"11006","","Debride genit/per/abdom wall  ","A","1328299","$689.52","$689.52","NA","$753.30","35.9996","","","","A","","","","","","NA","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$471.59","$471.59","","","",
"11008","","Remove mesh from abd wall     ","A","1328299","$266.79","$266.79","NA","$291.47","35.9996","","","","A","","","","","","NA","","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$180.00","$180.00","","","",
"11010","","Debride skin at fx site       ","A","1328299","$490.69","$277.63","$536.08","$303.31","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$150.84","$150.84","","","",
"11011","","Debride skin musc at fx site  ","A","1328299","$526.03","$293.48","$574.69","$320.62","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$177.84","$177.84","","","",
"11012","","Deb skin bone at fx site      ","A","1328299","$687.78","$415.21","$751.40","$453.62","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$247.32","$247.32","","","",
"11042","","Deb subq tissue 20 sq cm/<    ","A","1328299","$114.85","$61.16","$125.48","$66.82","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$36.36","$36.36","","","",
"11043","","Deb musc/fascia 20 sq cm/<    ","A","1328299","$223.33","$152.88","$243.98","$167.02","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$97.20","$97.20","","","",
"11044","","Deb bone 20 sq cm/<           ","A","1328299","$304.95","$225.94","$333.15","$246.84","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$147.60","$147.60","","","",
"11045","","Deb subq tissue add-on        ","A","1328299","$40.23","$25.87","$43.95","$28.26","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$18.00","$18.00","","","",
"11046","","Deb musc/fascia add-on        ","A","1328299","$71.03","$54.96","$77.60","$60.04","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$37.08","$37.08","","","",
"11047","","Deb bone add-on               ","A","1328299","$120.09","$96.83","$131.20","$105.79","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$64.80","$64.80","","","",
"11055","","Trim skin lesion              ","R","1328299","$47.23","$16.11","$51.60","$17.60","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$12.60","$12.60","","","",
"11056","","Trim skin lesions 2 to 4      ","R","1328299","$57.63","$22.75","$62.96","$24.85","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$18.00","$18.00","","","",
"11057","","Trim skin lesions over 4      ","R","1328299","$65.17","$29.94","$71.20","$32.71","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$23.40","$23.40","","","",
"11100","","Biopsy skin lesion            ","A","1328299","$102.65","$48.27","$112.15","$52.74","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$29.16","$29.16","","","",
"11101","","Biopsy skin add-on            ","A","1328299","$31.78","$24.59","$34.72","$26.87","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$14.76","$14.76","","","",
"11200","","Removal of skin tags <w/15    ","A","1328299","$87.28","$72.23","$95.35","$78.91","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$29.52","$29.52","","","",
"11201","","Remove skin tags add-on       ","A","1328299","$18.82","$16.77","$20.56","$18.32","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$10.44","$10.44","","","",
"11300","","Shave skin lesion 0.5 cm/<    ","A","1328299","$95.47","$34.94","$104.31","$38.17","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$21.60","$21.60","","","",
"11301","","Shave skin lesion 0.6-1.0 cm  ","A","1328299","$117.05","$52.75","$127.88","$57.63","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$32.40","$32.40","","","",
"11302","","Shave skin lesion 1.1-2.0 cm  ","A","1328299","$137.80","$62.22","$150.54","$67.97","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$37.80","$37.80","","","",
"11303","","Shave skin lesion >2.0 cm     ","A","1328299","$152.14","$73.14","$166.21","$79.90","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$45.00","$45.00","","","",
"11305","","Shave skin lesion 0.5 cm/<    ","A","1328299","$96.99","$38.85","$105.96","$42.44","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$28.80","$28.80","","","",
"11306","","Shave skin lesion 0.6-1.0 cm  ","A","1328299","$119.34","$51.62","$130.38","$56.40","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$34.56","$34.56","","","",
"11307","","Shave skin lesion 1.1-2.0 cm  ","A","1328299","$141.49","$66.25","$154.58","$72.38","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$43.20","$43.20","","","",
"11308","","Shave skin lesion >2.0 cm     ","A","1328299","$148.24","$73.68","$161.95","$80.50","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$52.56","$52.56","","","",
"11310","","Shave skin lesion 0.5 cm/<    ","A","1328299","$111.18","$46.89","$121.47","$51.22","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$28.80","$28.80","","","",
"11311","","Shave skin lesion 0.6-1.0 cm  ","A","1328299","$108.82","$64.70","$118.88","$70.69","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$39.60","$39.60","","","",
"11312","","Shave skin lesion 1.1-2.0 cm  ","A","1328299","$156.55","$76.86","$171.03","$83.97","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$46.80","$46.80","","","",
"11313","","Shave skin lesion >2.0 cm     ","A","1328299","$181.43","$99.01","$198.21","$108.17","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$60.48","$60.48","","","",
"11400","","Exc tr-ext b9+marg 0.5 cm<    ","A","1328299","$122.39","$79.30","$133.71","$86.64","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$32.40","$32.40","","","",
"11401","","Exc tr-ext b9+marg 0.6-1 cm   ","A","1328299","$145.91","$101.79","$159.40","$111.21","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$46.08","$46.08","","","",
"11402","","Exc tr-ext b9+marg 1.1-2 cm   ","A","1328299","$162.46","$112.19","$177.49","$122.56","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$52.20","$52.20","","","",
"11403","","Exc tr-ext b9+marg 2.1-3cm    ","A","1328299","$187.45","$144.36","$204.79","$157.71","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$66.24","$66.24","","","",
"11404","","Exc tr-ext b9+marg 3.1-4 cm   ","A","1328299","$212.01","$158.31","$231.62","$172.96","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$75.96","$75.96","","","",
"11406","","Exc tr-ext b9+marg >4.0 cm    ","A","1328299","$304.84","$240.55","$333.04","$262.80","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$126.72","$126.72","","","",
"11420","","Exc h-f-nk-sp b9+marg 0.5/<   ","A","1328299","$120.02","$80.01","$131.12","$87.41","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$37.08","$37.08","","","",
"11421","","Exc h-f-nk-sp b9+marg 0.6-1   ","A","1328299","$153.30","$107.82","$167.48","$117.79","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$52.92","$52.92","","","",
"11422","","Exc h-f-nk-sp b9+marg 1.1-2   ","A","1328299","$172.07","$133.76","$187.98","$146.14","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$60.48","$60.48","","","",
"11423","","Exc h-f-nk-sp b9+marg 2.1-3   ","A","1328299","$195.92","$153.17","$214.05","$167.34","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$74.16","$74.16","","","",
"11424","","Exc h-f-nk-sp b9+marg 3.1-4   ","A","1328299","$227.34","$175.69","$248.36","$191.95","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$89.28","$89.28","","","",
"11426","","Exc h-f-nk-sp b9+marg >4 cm   ","A","1328299","$324.85","$269.11","$354.90","$294.00","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$147.24","$147.24","","","",
"11440","","Exc face-mm b9+marg 0.5 cm/<  ","A","1328299","$132.58","$101.46","$144.84","$110.84","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$37.80","$37.80","","","",
"11441","","Exc face-mm b9+marg 0.6-1 cm  ","A","1328299","$164.10","$128.87","$179.28","$140.80","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$55.08","$55.08","","","",
"11442","","Exc face-mm b9+marg 1.1-2 cm  ","A","1328299","$183.39","$142.01","$200.35","$155.14","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$63.72","$63.72","","","",
"11443","","Exc face-mm b9+marg 2.1-3 cm  ","A","1328299","$217.80","$174.03","$237.95","$190.13","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$84.24","$84.24","","","",
"11444","","Exc face-mm b9+marg 3.1-4 cm  ","A","1328299","$273.63","$221.99","$298.94","$242.53","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$114.84","$114.84","","","",
"11446","","Exc face-mm b9+marg >4 cm     ","A","1328299","$379.78","$318.22","$414.91","$347.66","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$172.80","$172.80","","","",
"11450","","Removal sweat gland lesion    ","A","1328299","$372.23","$246.38","$406.67","$269.17","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$115.92","$115.92","","","",
"11451","","Removal sweat gland lesion    ","A","1328299","$471.59","$315.64","$515.21","$344.84","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$159.48","$159.48","","","",
"11462","","Removal sweat gland lesion    ","A","1328299","$363.97","$235.72","$397.64","$257.52","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$108.00","$108.00","","","",
"11463","","Removal sweat gland lesion    ","A","1328299","$477.36","$317.99","$521.52","$347.40","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$159.48","$159.48","","","",
"11470","","Removal sweat gland lesion    ","A","1328299","$401.51","$273.95","$438.65","$299.29","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$134.64","$134.64","","","",
"11471","","Removal sweat gland lesion    ","A","1328299","$497.17","$341.56","$543.16","$373.16","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$176.04","$176.04","","","",
"11600","","Exc tr-ext mal+marg 0.5 cm/<  ","A","1328299","$188.65","$117.51","$206.10","$128.38","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$58.68","$58.68","","","",
"11601","","Exc tr-ext mal+marg 0.6-1 cm  ","A","1328299","$223.22","$146.27","$243.86","$159.80","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$74.52","$74.52","","","",
"11602","","Exc tr-ext mal+marg 1.1-2 cm  ","A","1328299","$242.00","$160.95","$264.39","$175.84","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$81.72","$81.72","","","",
"11603","","Exc tr-ext mal+marg 2.1-3 cm  ","A","1328299","$276.81","$192.68","$302.42","$210.50","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$101.52","$101.52","","","",
"11604","","Exc tr-ext mal+marg 3.1-4 cm  ","A","1328299","$306.64","$211.57","$335.01","$231.14","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$114.12","$114.12","","","",
"11606","","Exc tr-ext mal+marg >4 cm     ","A","1328299","$437.47","$313.67","$477.93","$342.68","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$180.72","$180.72","","","",
"11620","","Exc h-f-nk-sp mal+marg 0.5/<  ","A","1328299","$189.91","$118.77","$207.47","$129.76","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$59.04","$59.04","","","",
"11621","","Exc s/n/h/f/g mal+mrg 0.6-1   ","A","1328299","$224.13","$147.18","$244.86","$160.80","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$74.88","$74.88","","","",
"11622","","Exc s/n/h/f/g mal+mrg 1.1-2   ","A","1328299","$250.08","$168.34","$273.21","$183.91","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$86.76","$86.76","","","",
"11623","","Exc s/n/h/f/g mal+mrg 2.1-3   ","A","1328299","$293.11","$208.64","$320.22","$227.94","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$111.96","$111.96","","","",
"11624","","Exc s/n/h/f/g mal+mrg 3.1-4   ","A","1328299","$330.03","$235.98","$360.56","$257.81","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$130.32","$130.32","","","",
"11626","","Exc s/n/h/f/g mal+mrg >4 cm   ","A","1328299","$395.82","$287.74","$432.43","$314.36","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$165.96","$165.96","","","",
"11640","","Exc f/e/e/n/l mal+mrg 0.5cm<  ","A","1328299","$195.77","$122.93","$213.88","$134.30","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$60.12","$60.12","","","",
"11641","","Exc f/e/e/n/l mal+mrg 0.6-1   ","A","1328299","$231.69","$153.37","$253.12","$167.56","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$78.12","$78.12","","","",
"11642","","Exc f/e/e/n/l mal+mrg 1.1-2   ","A","1328299","$264.31","$180.52","$288.76","$197.22","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$94.32","$94.32","","","",
"11643","","Exc f/e/e/n/l mal+mrg 2.1-3   ","A","1328299","$311.28","$226.13","$340.08","$247.04","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$123.12","$123.12","","","",
"11644","","Exc f/e/e/n/l mal+mrg 3.1-4   ","A","1328299","$383.95","$279.99","$419.47","$305.89","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$156.24","$156.24","","","",
"11646","","Exc f/e/e/n/l mal+mrg >4 cm   ","A","1328299","$499.47","$387.30","$545.67","$423.12","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$225.36","$225.36","","","",
"11719","","Trim nail(s) any number       ","R","1328299","$14.20","$7.70","$15.51","$8.41","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$6.12","$6.12","","","",
"11720","","Debride nail 1-5              ","A","1328299","$32.47","$14.68","$35.47","$16.04","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$11.52","$11.52","","","",
"11721","","Debride nail 6 or more        ","A","1328299","$44.58","$24.74","$48.70","$27.03","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$19.44","$19.44","","","",
"11730","","Removal of nail plate         ","A","1328299","$103.81","$55.24","$113.41","$60.36","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$37.80","$37.80","","","",
"11732","","Remove nail plate add-on      ","A","1328299","$31.08","$17.74","$33.96","$19.38","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$13.68","$13.68","","","",
"11740","","Drain blood from under nail   ","A","1328299","$49.19","$32.43","$53.74","$35.43","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$13.32","$13.32","","","",
"11750","","Removal of nail bed           ","A","1328299","$150.76","$100.83","$164.71","$110.16","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$56.88","$56.88","","","",
"11755","","Biopsy nail unit              ","A","1328299","$129.33","$76.66","$141.29","$83.75","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$47.16","$47.16","","","",
"11760","","Repair of nail bed            ","A","1328299","$183.60","$112.12","$200.58","$122.50","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$58.68","$58.68","","","",
"11762","","Reconstruction of nail bed    ","A","1328299","$274.54","$181.52","$299.94","$198.31","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$105.84","$105.84","","","",
"11765","","Excision of nail fold toe     ","A","1328299","$164.18","$92.70","$179.36","$101.28","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$43.92","$43.92","","","",
"11770","","Remove pilonidal cyst simple  ","A","1328299","$267.47","$179.23","$292.21","$195.81","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$95.76","$95.76","","","",
"11771","","Remove pilonidal cyst exten   ","A","1328299","$557.28","$422.19","$608.83","$461.24","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$219.24","$219.24","","","",
"11772","","Remove pilonidal cyst compl   ","A","1328299","$671.73","$558.53","$733.87","$610.19","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$264.60","$264.60","","","",
"11900","","Inject skin lesions </w 7     ","A","1328299","$54.76","$30.82","$59.83","$33.67","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$18.72","$18.72","","","",
"11901","","Inject skin lesions >7        ","A","1328299","$68.78","$47.91","$75.14","$52.35","35.9996","","","","A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$28.80","$28.80","","","",
"11920","","Correct skin color 6.0 cm/<   ","R","1328299","$167.50","$111.75","$182.99","$122.09","35.9996","","","","R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9996","","","$57.96","$57.96","","","",
