,Clinic - Ambulatory Surgical Center January 2020,,,,,,,
13131,Cmplx rpr f/c/c/m/n/ax/g/h/f,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
13132,Cmplx rpr f/c/c/m/n/ax/g/h/f,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
13133,Cmplx rpr f/c/c/m/n/ax/g/h/f,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
13151,Cmplx rpr e/n/e/l 1.1-2.5 cm,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
13152,Cmplx rpr e/n/e/l 2.6-7.5 cm,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
13153,Cmplx rpr e/n/e/l addl 5cm/<,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
13160,Late closure of wound,  ,                                        ,ASC,446,10/1/08,12/31/99, 
14000,Tis trnfr trunk 10 sq cm/<,  ,                                        ,ASC,446,10/1/08,12/31/99, 
14001,Tis trnfr trunk 10.1-30sqcm,  ,                                        ,ASC,510,10/1/08,12/31/99, 
14020,Tis trnfr s/a/l 10 sq cm/<,  ,                                        ,ASC,510,10/1/08,12/31/99, 
14021,Tis trnfr s/a/l 10.1-30 sqcm,  ,                                        ,ASC,510,10/1/08,12/31/99, 
14040,Tis trnfr f/c/c/m/n/a/g/h/f,  ,                                        ,ASC,446,10/1/08,12/31/99, 
14041,Tis trnfr f/c/c/m/n/a/g/h/f,  ,                                        ,ASC,510,10/1/08,12/31/99, 
14060,Tis trnfr e/n/e/l 10 sq cm/<,  ,                                        ,ASC,510,10/1/08,12/31/99, 
14061,Tis trnfr e/n/e/l10.1-30sqcm,  ,                                        ,ASC,510,10/1/08,12/31/99, 
14301,Tis trnfr any 30.1-60 sq cm,  ,                                        ,ASC,630,1/1/10,12/31/99, 
14350,Filleted finger/toe flap,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15002,Wound prep trk/arm/leg,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
15003,Wound prep addl 100 cm,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
15004,Wound prep f/n/hf/g,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
15005,Wnd prep f/n/hf/g addl cm,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
15040,Harvest cultured skin graft,  ,                                        ,ASC,91.24,10/1/08,12/31/99, 
15050,Skin pinch graft,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
15100,Skin splt grft trnk/arm/leg,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15101,Skin splt grft t/a/l add-on,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15110,Epidrm autogrft trnk/arm/leg,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15111,Epidrm autogrft t/a/l add-on,  ,                                        ,ASC,333,10/1/08,12/31/99, 
15115,Epidrm a-grft face/nck/hf/g,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15116,Epidrm a-grft f/n/hf/g addl,  ,                                        ,ASC,333,10/1/08,12/31/99, 
15120,Skn splt a-grft fac/nck/hf/g,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15121,Skn splt a-grft f/n/hf/g add,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15130,Derm autograft trnk/arm/leg,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15131,Derm autograft t/a/l add-on,  ,                                        ,ASC,333,10/1/08,12/31/99, 
15135,Derm autograft face/nck/hf/g,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15136,Derm autograft f/n/hf/g add,  ,                                        ,ASC,333,10/1/08,12/31/99, 
15150,Cult skin grft t/arm/leg,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15151,Cult skin grft t/a/l addl,  ,                                        ,ASC,333,10/1/08,12/31/99, 
15152,Cult skin graft t/a/l +%,  ,                                        ,ASC,333,10/1/08,12/31/99, 
15155,Cult skin graft f/n/hf/g,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15156,Cult skin grft f/n/hfg add,  ,                                        ,ASC,333,10/1/08,12/31/99, 
15157,Cult epiderm grft f/n/hfg +%,  ,                                        ,ASC,333,10/1/08,12/31/99, 
15200,Skin full graft trunk,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15201,Skin full graft trunk add-on,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
15220,Skin full graft sclp/arm/leg,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15221,Skin full graft add-on,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
15240,Skin full grft face/genit/hf,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15241,Skin full graft add-on,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
15260,Skin full graft een & lips,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15261,Skin full graft add-on,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
15271,Skin sub graft trnk/arm/leg,  ,                                        ,ASC,323.28,1/1/12,12/31/99, 
15272,Skin sub graft t/a/l add-on,  ,                                        ,ASC,323.28,1/1/12,12/31/99, 
15273,Skin sub grft t/arm/lg child,  ,                                        ,ASC,323.28,1/1/12,12/31/99, 
15274,Skn sub grft t/a/l child add,  ,                                        ,ASC,323.28,1/1/12,12/31/99, 
15275,Skin sub graft face/nk/hf/g,  ,                                        ,ASC,323.28,1/1/12,12/31/99, 
15276,Skin sub graft f/n/hf/g addl,  ,                                        ,ASC,323.28,1/1/12,12/31/99, 
15277,Skn sub grft f/n/hf/g child,  ,                                        ,ASC,323.28,1/1/12,12/31/99, 
15278,Skn sub grft f/n/hf/g ch add,  ,                                        ,ASC,323.28,1/1/12,12/31/99, 
15570,Skin pedicle flap trunk,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15572,Skin pedicle flap arms/legs,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15574,Pedcle fh/ch/ch/m/n/ax/g/h/f,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15576,Pedicle e/n/e/l/ntroral,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15600,Delay flap trunk,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15610,Delay flap arms/legs,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15620,Delay flap f/c/c/n/ax/g/h/f,  ,                                        ,ASC,630,10/1/08,12/31/99, 
15630,Delay flap eye/nos/ear/lip,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15650,Transfer skin pedicle flap,  ,                                        ,ASC,717,10/1/08,12/31/99, 
15730,Mdfc flap w/prsrv vasc pedcl,  ,                                        ,ASC,510,1/1/18,12/31/99, 
15731,Forehead flap w/vasc pedicle,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15733,Musc myoq/fscq flp h&n pedcl,  ,                                        ,ASC,510,1/1/18,12/31/99, 
15734,Muscle-skin graft trunk,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15736,Muscle-skin graft arm,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15738,Muscle-skin graft leg,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15740,Island pedicle flap graft,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15750,Neurovascular pedicle flap,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15760,Composite skin graft,  ,                                        ,ASC,446,10/1/08,12/31/99, 
15770,Derma-fat-fascia graft,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15820,Revision of lower eyelid,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15821,Revision of lower eyelid,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15822,Revision of upper eyelid,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15823,Revision of upper eyelid,  ,                                        ,ASC,717,10/1/08,12/31/99, 
15824,Removal of forehead wrinkles,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15825,Removal of neck wrinkles,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15826,Removal of brow wrinkles,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15828,Removal of face wrinkles,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15829,Removal of skin wrinkles,  ,                                        ,ASC,717,10/1/08,12/31/99, 
15830,Exc skin abd,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15832,Excise excessive skin thigh,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15833,Excise excessive skin leg,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15834,Excise excessive skin hip,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15835,Excise excessive skin buttck,  ,                                        ,ASC,323.28,10/1/08,12/31/99, 
15836,Excise excessive skin arm,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15839,Excise excess skin & tissue,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15840,Nerve palsy fascial graft,  ,                                        ,ASC,630,10/1/08,12/31/99, 
15841,Nerve palsy muscle graft,  ,                                        ,ASC,630,10/1/08,12/31/99, 
15845,Skin and muscle repair face,  ,                                        ,ASC,630,10/1/08,12/31/99, 
15847,Exc skin abd add-on,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15876,Suction lipectomy head&neck,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15877,Suction lipectomy trunk,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15878,Suction lipectomy upr extrem,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15879,Suction lipectomy lwr extrem,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15920,Removal of tail bone ulcer,  ,                                        ,ASC,251.52,10/1/08,12/31/99, 
15922,Removal of tail bone ulcer,  ,                                        ,ASC,630,10/1/08,12/31/99, 
15931,Remove sacrum pressure sore,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15933,Remove sacrum pressure sore,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15934,Remove sacrum pressure sore,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15935,Remove sacrum pressure sore,  ,                                        ,ASC,630,10/1/08,12/31/99, 
15936,Remove sacrum pressure sore,  ,                                        ,ASC,630,10/1/08,12/31/99, 
15937,Remove sacrum pressure sore,  ,                                        ,ASC,630,10/1/08,12/31/99, 
15940,Remove hip pressure sore,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15941,Remove hip pressure sore,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15944,Remove hip pressure sore,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15945,Remove hip pressure sore,  ,                                        ,ASC,630,10/1/08,12/31/99, 
15946,Remove hip pressure sore,  ,                                        ,ASC,630,10/1/08,12/31/99, 
15950,Remove thigh pressure sore,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15951,Remove thigh pressure sore,  ,                                        ,ASC,630,10/1/08,12/31/99, 
15952,Remove thigh pressure sore,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15953,Remove thigh pressure sore,  ,                                        ,ASC,630,10/1/08,12/31/99, 
15956,Remove thigh pressure sore,  ,                                        ,ASC,510,10/1/08,12/31/99, 
15958,Remove thigh pressure sore,  ,                                        ,ASC,630,10/1/08,12/31/99, 
16025,Dress/debrid p-thick burn m,  ,                                        ,ASC,67.11,10/1/08,12/31/99, 
16030,Dress/debrid p-thick burn l,  ,                                        ,ASC,99.83,10/1/08,12/31/99, 
19020,Incision of breast lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
19081,Bx breast 1st lesion strtctc,  ,                                        ,ASC,240,1/1/14,12/31/99, 
19082,Bx breast add lesion strtctc,  ,                                        ,ASC,240,1/1/14,12/31/99, 
19083,Bx breast 1st lesion us imag,  ,                                        ,ASC,240,1/1/14,12/31/99, 
19084,Bx breast add lesion us imag,  ,                                        ,ASC,240,1/1/14,12/31/99, 
19085,Bx breast 1st lesion mr imag,  ,                                        ,ASC,240,1/1/14,12/31/99, 
19086,Bx breast add lesion mr imag,  ,                                        ,ASC,240,1/1/14,12/31/99, 
19100,Bx breast percut w/o image,  ,                                        ,ASC,240,10/1/08,12/31/99, 
19101,Biopsy of breast open,  ,                                        ,ASC,446,10/1/08,12/31/99, 
19110,Nipple exploration,  ,                                        ,ASC,446,10/1/08,12/31/99, 
19112,Excise breast duct fistula,  ,                                        ,ASC,510,10/1/08,12/31/99, 
19120,Removal of breast lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
19125,Excision breast lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
19126,Excision addl breast lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
19296,Place po breast cath for rad,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
19297,Place breast cath for rad,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
19298,Place breast rad tube/caths,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
19300,Removal of breast tissue,  ,                                        ,ASC,630,10/1/08,12/31/99, 
19301,Partial mastectomy,  ,                                        ,ASC,510,10/1/08,12/31/99, 
19302,P-mastectomy w/ln removal,  ,                                        ,ASC,995,10/1/08,12/31/99, 
19303,Mast simple complete,  ,                                        ,ASC,630,10/1/08,12/31/99, 
19304,Mast subq,  ,                                        ,ASC,630,10/1/08,12/31/19, 
19316,Suspension of breast,  ,                                        ,ASC,630,10/1/08,12/31/99, 
19318,Reduction of large breast,  ,                                        ,ASC,630,10/1/08,12/31/99, 
19324,Enlarge breast,  ,                                        ,ASC,630,10/1/08,12/31/99, 
19325,Enlarge breast with implant,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
19328,Removal of breast implant,  ,                                        ,ASC,333,10/1/08,12/31/99, 
19330,Removal of implant material,  ,                                        ,ASC,333,10/1/08,12/31/99, 
19340,Immediate breast prosthesis,  ,                                        ,ASC,446,10/1/08,12/31/99, 
19342,Delayed breast prosthesis,  ,                                        ,ASC,510,10/1/08,12/31/99, 
19350,Breast reconstruction,  ,                                        ,ASC,630,10/1/08,12/31/99, 
19355,Correct inverted nipple(s),  ,                                        ,ASC,630,10/1/08,12/31/99, 
19357,Breast reconstruction,  ,                                        ,ASC,717,10/1/08,12/31/99, 
19366,Breast reconstruction,  ,                                        ,ASC,717,10/1/08,12/31/99, 
19370,Surgery of breast capsule,  ,                                        ,ASC,630,10/1/08,12/31/99, 
19371,Removal of breast capsule,  ,                                        ,ASC,630,10/1/08,12/31/99, 
19380,Revise breast reconstruction,  ,                                        ,ASC,717,10/1/08,12/31/99, 
20005,I&d abscess subfascial,  ,                                        ,ASC,446,10/1/08,12/31/18, 
20200,Muscle biopsy,  ,                                        ,ASC,446,10/1/08,12/31/99, 
20205,Deep muscle biopsy,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20206,Needle biopsy muscle,  ,                                        ,ASC,240,10/1/08,12/31/99, 
20220,Bone biopsy trocar/needle,  ,                                        ,ASC,251.52,10/1/08,12/31/99, 
20225,Bone biopsy trocar/needle,  ,                                        ,ASC,418.49,10/1/08,12/31/99, 
20240,Bone biopsy open superficial,  ,                                        ,ASC,446,10/1/08,12/31/99, 
20245,Bone biopsy open deep,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20250,Open bone biopsy,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20251,Open bone biopsy,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20525,Removal of foreign body,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20650,Insert and remove bone pin,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20670,Removal of support implant,  ,                                        ,ASC,333,10/1/08,12/31/99, 
20680,Removal of support implant,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20690,Apply bone fixation device,  ,                                        ,ASC,446,10/1/08,12/31/99, 
20692,Apply bone fixation device,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20693,Adjust bone fixation device,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20694,Remove bone fixation device,  ,                                        ,ASC,333,10/1/08,12/31/99, 
20900,Removal of bone for graft,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20902,Removal of bone for graft,  ,                                        ,ASC,630,10/1/08,12/31/99, 
20910,Remove cartilage for graft,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20912,Remove cartilage for graft,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20920,Removal of fascia for graft,  ,                                        ,ASC,630,10/1/08,12/31/99, 
20922,Removal of fascia for graft,  ,                                        ,ASC,510,10/1/08,12/31/99, 
20924,Removal of tendon for graft,  ,                                        ,ASC,630,10/1/08,12/31/99, 
20926,Removal of tissue for graft,  ,                                        ,ASC,630,10/1/08,12/31/19, 
20975,Electrical bone stimulation,  ,                                        ,ASC,37.51,10/1/08,12/31/99, 
21010,Incision of jaw joint,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21015,Resect face/scalp tum < 2 cm,  ,                                        ,ASC,510,10/1/08,12/31/99, 
21025,Excision of bone lower jaw,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21026,Excision of facial bone(s),  ,                                        ,ASC,446,10/1/08,12/31/99, 
21029,Contour of face bone lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21034,Excise max/zygoma mal tumor,  ,                                        ,ASC,510,10/1/08,12/31/99, 
21040,Excise mandible lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21044,Removal of jaw bone lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21046,Remove mandible cyst complex,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21047,Excise lwr jaw cyst w/repair,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21050,Removal of jaw joint,  ,                                        ,ASC,510,10/1/08,12/31/99, 
21060,Remove jaw joint cartilage,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21070,Remove coronoid process,  ,                                        ,ASC,510,10/1/08,12/31/99, 
21100,Maxillofacial fixation,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21120,Genioplasty,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21121,Reconstruction of chin,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21122,Reconstruction of chin,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21123,Reconstruction of chin,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21125,Augmentation lower jaw bone,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21127,Augmentation lower jaw bone,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
21181,Contour cranial bone lesion,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21206,Reconstruct upper jaw bone,  ,                                        ,ASC,717,10/1/08,12/31/99, 
21208,Augmentation of facial bones,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21209,Reduction of facial bones,  ,                                        ,ASC,717,10/1/08,12/31/99, 
21210,Face bone graft,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21215,Lower jaw bone graft,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21230,Rib cartilage graft,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21235,Ear cartilage graft,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21240,Reconstruction of jaw joint,  ,                                        ,ASC,630,10/1/08,12/31/99, 
21242,Reconstruction of jaw joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
21243,Reconstruction of jaw joint,  ,                                        ,ASC,717,10/1/08,12/31/99, 
21244,Reconstruction of lower jaw,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21245,Reconstruction of jaw,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21246,Reconstruction of jaw,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21248,Reconstruction of jaw,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21249,Reconstruction of jaw,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21267,Revise eye sockets,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21270,Augmentation cheek bone,  ,                                        ,ASC,717,10/1/08,12/31/99, 
21275,Revision orbitofacial bones,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21280,Revision of eyelid,  ,                                        ,ASC,717,10/1/08,12/31/99, 
21282,Revision of eyelid,  ,                                        ,ASC,717,10/1/08,12/31/99, 
21295,Revision of jaw muscle/bone,  ,                                        ,ASC,333,10/1/08,12/31/99, 
21296,Revision of jaw muscle/bone,  ,                                        ,ASC,333,10/1/08,12/31/99, 
21310,Closed tx nose fx w/o manj,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
21315,Closed tx nose fx w/o stablj,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
21320,Closed tx nose fx w/ stablj,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21325,Open tx nose fx uncomplicatd,  ,                                        ,ASC,630,10/1/08,12/31/99, 
21330,Open tx nose fx w/skele fixj,  ,                                        ,ASC,717,10/1/08,12/31/99, 
21335,Open tx nose & septal fx,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21336,Open tx septal fx w/wo stabj,  ,                                        ,ASC,630,10/1/08,12/31/99, 
21337,Closed tx septal&nose fx,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21338,Open nasoethmoid fx w/o fixj,  ,                                        ,ASC,630,10/1/08,12/31/99, 
21339,Open nasoethmoid fx w/ fixj,  ,                                        ,ASC,717,10/1/08,12/31/99, 
21340,Perq tx nasoethmoid fx,  ,                                        ,ASC,630,10/1/08,12/31/99, 
21345,Closed tx nose/jaw fx,  ,                                        ,ASC,995,10/1/08,12/31/99, 
21355,Perq tx malar fracture,  ,                                        ,ASC,510,10/1/08,12/31/99, 
21356,Opn tx dprsd zygomatic arch,  ,                                        ,ASC,510,10/1/08,12/31/99, 
21400,Closed tx orbit w/o manipulj,  ,                                        ,ASC,446,10/1/08,12/31/99, 
21401,Closed tx orbit w/manipulj,  ,                                        ,ASC,510,10/1/08,12/31/99, 
